| Word             | Part of Speech   | Simple Meaning                                                                     | Hindi Meaning                                | Example                                                           |
| ---------------- | ---------------- | ---------------------------------------------------------------------------------- | -------------------------------------------- | ----------------------------------------------------------------- |
| **Imprint**      | Noun / Verb      | A strong effect or mark left on something; to fix an idea deeply in someone's mind | छाप / प्रभाव डालना                           | **His teacher left a lasting imprint on his personality.**        |
| **Certitude**    | Noun             | Complete certainty; having no doubt                                                | पूर्ण निश्चितता / पक्का विश्वास              | **She spoke with certitude about her decision.**                  |
| **Infallible**   | Adjective        | Never wrong or making mistakes                                                     | अचूक / कभी गलती न करने वाला                  | **Nobody is infallible; everyone makes mistakes.**                |
| **Supremacy**    | Noun             | The state of being superior or having the highest authority/power                  | सर्वोच्चता / प्रभुत्व                        | **The team fought to establish its supremacy in the tournament.** |
| **Sprouting**    | Verb / Adjective | Beginning to grow, especially a plant; beginning to develop                        | अंकुरित होना / उभरना                         | **New leaves are sprouting from the plant.**                      |
| **Commencement** | Noun             | The beginning of something; also a formal ceremony for graduation                  | शुरुआत / आरंभ                                | **The commencement of the project was delayed.**                  |
| **Fathom**       | Verb             | To understand something deeply, especially something difficult                     | गहराई से समझना                               | **I couldn't fathom why he suddenly left.**                       |
| **Intellect**    | Noun             | The ability to think, understand, and reason                                       | बुद्धि / बौद्धिक क्षमता                      | **Her sharp intellect helped her solve the difficult problem.**   |
| **Intuitively**  | Adverb           | By instinct or without consciously reasoning                                       | सहज रूप से / अंतर्ज्ञान से                   | **He intuitively knew that something was wrong.**                 |
| **Outpouring**   | Noun             | A large or sudden expression of feelings, emotions, or support                     | भावनाओं की बाढ़ / भारी मात्रा में अभिव्यक्ति | **There was an outpouring of support after the announcement.**    |
| **Discerning**   | Adjective        | Having the ability to notice and understand differences or quality                 | पारखी / सूक्ष्म अंतर समझने वाला              | **She is a discerning reader who chooses her books carefully.**   |
